For doors: 3, cars: 1, changing door: True, iterations: 10000, win probability: 0.6728
For doors: 90, cars: 60, changing door: False, iterations: 10000, win probability: 0.6671
For doors: 90, cars: 70, changing door: True, iterations: 10000, win probability: 0.7942
For doors: 90, cars: 70, changing door: False, iterations: 10000, win probability: 0.77
For doors: 90, cars: 80, changing door: True, iterations: 10000, win probability: 0.8982
For doors: 90, cars: 80, changing door: False, iterations: 10000, win probability: 0.8905
For doors: 100, cars: 10, changing door: True, iterations: 10000, win probability: 0.1007
For doors: 100, cars: 10, changing door: False, iterations: 10000, win probability: 0.0995
For doors: 100, cars: 20, changing door: True, iterations: 10000, win probability: 0.1954
For doors: 100, cars: 20, changing door: False, iterations: 10000, win probability: 0.1952
For doors: 100, cars: 30, changing door: True, iterations: 10000, win probability: 0.2983
For doors: 100, cars: 30, changing door: False, iterations: 10000, win probability: 0.2947
For doors: 100, cars: 40, changing door: True, iterations: 10000, win probability: 0.404
For doors: 100, cars: 40, changing door: False, iterations: 10000, win probability: 0.4068
For doors: 100, cars: 50, changing door: True, iterations: 10000, win probability: 0.5003
For doors: 100, cars: 50, changing door: False, iterations: 10000, win probability: 0.4955
For doors: 100, cars: 60, changing door: True, iterations: 10000, win probability: 0.6053
For doors: 100, cars: 60, changing door: False, iterations: 10000, win probability: 0.5955
For doors: 100, cars: 70, changing door: True, iterations: 10000, win probability: 0.7069
For doors: 100, cars: 70, changing door: False, iterations: 10000, win probability: 0.6939
For doors: 100, cars: 80, changing door: True, iterations: 10000, win probability: 0.8062
For doors: 100, cars: 80, changing door: False, iterations: 10000, win probability: 0.7939
For doors: 100, cars: 90, changing door: True, iterations: 10000, win probability: 0.9074
For doors: 100, cars: 90, changing door: False, iterations: 10000, win probability: 0.9008
For doors: 110, cars: 10, changing door: True, iterations: 10000, win probability: 0.0955
For doors: 110, cars: 10, changing door: False, iterations: 10000, win probability: 0.0919
For doors: 110, cars: 20, changing door: True, iterations: 10000, win probability: 0.1877
For doors: 110, cars: 20, changing door: False, iterations: 10000, win probability: 0.1781
For doors: 110, cars: 30, changing door: True, iterations: 10000, win probability: 0.2816
For doors: 110, cars: 30, changing door: False, iterations: 10000, win probability: 0.2665
For doors: 110, cars: 40, changing door: True, iterations: 10000, win probability: 0.372
For doors: 110, cars: 40, changing door: False, iterations: 10000, win probability: 0.3676
For doors: 110, cars: 50, changing door: True, iterations: 10000, win probability: 0.4606
For doors: 110, cars: 50, changing door: False, iterations: 10000, win probability: 0.4479
For doors: 110, cars: 60, changing door: True, iterations: 10000, win probability: 0.5465
For doors: 110, cars: 60, changing door: False, iterations: 10000, win probability: 0.5526
For doors: 110, cars: 70, changing door: True, iterations: 10000, win probability: 0.6403
For doors: 110, cars: 70, changing door: False, iterations: 10000, win probability: 0.635
For doors: 110, cars: 80, changing door: True, iterations: 10000, win probability: 0.7342
For doors: 110, cars: 80, changing door: False, iterations: 10000, win probability: 0.7202
For doors: 110, cars: 90, changing door: True, iterations: 10000, win probability: 0.8162
For doors: 110, cars: 90, changing door: False, iterations: 10000, win probability: 0.8196
For doors: 110, cars: 100, changing door: True, iterations: 10000, win probability: 0.9144
For doors: 110, cars: 100, changing door: False, iterations: 10000, win probability: 0.9089
For doors: 120, cars: 10, changing door: True, iterations: 10000, win probability: 0.0788
For doors: 120, cars: 10, changing door: False, iterations: 10000, win probability: 0.0859
For doors: 120, cars: 20, changing door: True, iterations: 10000, win probability: 0.1673
For doors: 120, cars: 20, changing door: False, iterations: 10000, win probability: 0.1681
For doors: 120, cars: 30, changing door: True, iterations: 10000, win probability: 0.2567
For doors: 120, cars: 30, changing door: False, iterations: 10000, win probability: 0.2556
For doors: 120, cars: 40, changing door: True, iterations: 10000, win probability: 0.3335
For doors: 120, cars: 40, changing door: False, iterations: 10000, win probability: 0.3364
For doors: 120, cars: 50, changing door: True, iterations: 10000, win probability: 0.4233
For doors: 120, cars: 50, changing door: False, iterations: 10000, win probability: 0.4202
For doors: 120, cars: 60, changing door: True, iterations: 10000, win probability: 0.508
For doors: 120, cars: 60, changing door: False, iterations: 10000, win probability: 0.4904
For doors: 120, cars: 70, changing door: True, iterations: 10000, win probability: 0.5842
For doors: 120, cars: 70, changing door: False, iterations: 10000, win probability: 0.5968
For doors: 120, cars: 80, changing door: True, iterations: 10000, win probability: 0.6711
For doors: 120, cars: 80, changing door: False, iterations: 10000, win probability: 0.662
For doors: 120, cars: 90, changing door: True, iterations: 10000, win probability: 0.7578
For doors: 120, cars: 90, changing door: False, iterations: 10000, win probability: 0.7553
For doors: 120, cars: 100, changing door: True, iterations: 10000, win probability: 0.8429
For doors: 120, cars: 100, changing door: False, iterations: 10000, win probability: 0.8322
For doors: 120, cars: 110, changing door: True, iterations: 10000, win probability: 0.9224
For doors: 120, cars: 110, changing door: False, iterations: 10000, win probability: 0.9205
For doors: 130, cars: 10, changing door: True, iterations: 10000, win probability: 0.0744
For doors: 130, cars: 10, changing door: False, iterations: 10000, win probability: 0.0796
For doors: 130, cars: 20, changing door: True, iterations: 10000, win probability: 0.1565
For doors: 130, cars: 20, changing door: False, iterations: 10000, win probability: 0.1556
For doors: 130, cars: 30, changing door: True, iterations: 10000, win probability: 0.2331
For doors: 130, cars: 30, changing door: False, iterations: 10000, win probability: 0.2335
For doors: 130, cars: 40, changing door: True, iterations: 10000, win probability: 0.3063
For doors: 130, cars: 40, changing door: False, iterations: 10000, win probability: 0.3111
For doors: 130, cars: 50, changing door: True, iterations: 10000, win probability: 0.3831
For doors: 130, cars: 50, changing door: False, iterations: 10000, win probability: 0.379
For doors: 130, cars: 60, changing door: True, iterations: 10000, win probability: 0.4625
For doors: 130, cars: 60, changing door: False, iterations: 10000, win probability: 0.4616
For doors: 130, cars: 70, changing door: True, iterations: 10000, win probability: 0.5398
For doors: 130, cars: 70, changing door: False, iterations: 10000, win probability: 0.5328
For doors: 130, cars: 80, changing door: True, iterations: 10000, win probability: 0.6172
For doors: 130, cars: 80, changing door: False, iterations: 10000, win probability: 0.6146
For doors: 130, cars: 90, changing door: True, iterations: 10000, win probability: 0.6987
For doors: 130, cars: 90, changing door: False, iterations: 10000, win probability: 0.6923
For doors: 130, cars: 100, changing door: True, iterations: 10000, win probability: 0.7785
For doors: 130, cars: 100, changing door: False, iterations: 10000, win probability: 0.7685
For doors: 130, cars: 110, changing door: True, iterations: 10000, win probability: 0.8477
For doors: 130, cars: 110, changing door: False, iterations: 10000, win probability: 0.8449
For doors: 130, cars: 120, changing door: True, iterations: 10000, win probability: 0.9245
For doors: 130, cars: 120, changing door: False, iterations: 10000, win probability: 0.9203
For doors: 140, cars: 10, changing door: True, iterations: 10000, win probability: 0.0681
For doors: 140, cars: 10, changing door: False, iterations: 10000, win probability: 0.0728
For doors: 140, cars: 20, changing door: True, iterations: 10000, win probability: 0.1475
For doors: 140, cars: 20, changing door: False, iterations: 10000, win probability: 0.1465
For doors: 140, cars: 30, changing door: True, iterations: 10000, win probability: 0.2238
For doors: 140, cars: 30, changing door: False, iterations: 10000, win probability: 0.2106
For doors: 140, cars: 40, changing door: True, iterations: 10000, win probability: 0.2805
For doors: 140, cars: 40, changing door: False, iterations: 10000, win probability: 0.2829
For doors: 140, cars: 50, changing door: True, iterations: 10000, win probability: 0.3462
For doors: 140, cars: 50, changing door: False, iterations: 10000, win probability: 0.3629
For doors: 140, cars: 60, changing door: True, iterations: 10000, win probability: 0.4333
For doors: 140, cars: 60, changing door: False, iterations: 10000, win probability: 0.4362
For doors: 140, cars: 70, changing door: True, iterations: 10000, win probability: 0.5055
For doors: 140, cars: 70, changing door: False, iterations: 10000, win probability: 0.4923
For doors: 140, cars: 80, changing door: True, iterations: 10000, win probability: 0.5694
For doors: 140, cars: 80, changing door: False, iterations: 10000, win probability: 0.5617
For doors: 140, cars: 90, changing door: True, iterations: 10000, win probability: 0.6446
For doors: 140, cars: 90, changing door: False, iterations: 10000, win probability: 0.6343
For doors: 140, cars: 100, changing door: True, iterations: 10000, win probability: 0.7229
For doors: 140, cars: 100, changing door: False, iterations: 10000, win probability: 0.7106
For doors: 140, cars: 110, changing door: True, iterations: 10000, win probability: 0.7947
For doors: 140, cars: 110, changing door: False, iterations: 10000, win probability: 0.7796
For doors: 140, cars: 120, changing door: True, iterations: 10000, win probability: 0.8615
For doors: 140, cars: 120, changing door: False, iterations: 10000, win probability: 0.852
For doors: 140, cars: 130, changing door: True, iterations: 10000, win probability: 0.9347
For doors: 140, cars: 130, changing door: False, iterations: 10000, win probability: 0.9294
For doors: 150, cars: 10, changing door: True, iterations: 10000, win probability: 0.0695
For doors: 150, cars: 10, changing door: False, iterations: 10000, win probability: 0.0667
For doors: 150, cars: 20, changing door: True, iterations: 10000, win probability: 0.137
For doors: 150, cars: 20, changing door: False, iterations: 10000, win probability: 0.1299
For doors: 150, cars: 30, changing door: True, iterations: 10000, win probability: 0.2048
For doors: 150, cars: 30, changing door: False, iterations: 10000, win probability: 0.198
For doors: 150, cars: 40, changing door: True, iterations: 10000, win probability: 0.2661
For doors: 150, cars: 40, changing door: False, iterations: 10000, win probability: 0.2658
For doors: 150, cars: 50, changing door: True, iterations: 10000, win probability: 0.3375
For doors: 150, cars: 50, changing door: False, iterations: 10000, win probability: 0.3349
For doors: 150, cars: 60, changing door: True, iterations: 10000, win probability: 0.4034
For doors: 150, cars: 60, changing door: False, iterations: 10000, win probability: 0.3927
For doors: 150, cars: 70, changing door: True, iterations: 10000, win probability: 0.4757
For doors: 150, cars: 70, changing door: False, iterations: 10000, win probability: 0.4694
For doors: 150, cars: 80, changing door: True, iterations: 10000, win probability: 0.5399
For doors: 150, cars: 80, changing door: False, iterations: 10000, win probability: 0.541
For doors: 150, cars: 90, changing door: True, iterations: 10000, win probability: 0.6075
For doors: 150, cars: 90, changing door: False, iterations: 10000, win probability: 0.601
For doors: 150, cars: 100, changing door: True, iterations: 10000, win probability: 0.6683
For doors: 150, cars: 100, changing door: False, iterations: 10000, win probability: 0.6603
For doors: 150, cars: 110, changing door: True, iterations: 10000, win probability: 0.7395
For doors: 150, cars: 110, changing door: False, iterations: 10000, win probability: 0.7391
For doors: 150, cars: 120, changing door: True, iterations: 10000, win probability: 0.8104
For doors: 150, cars: 120, changing door: False, iterations: 10000, win probability: 0.8016
For doors: 150, cars: 130, changing door: True, iterations: 10000, win probability: 0.8747
For doors: 150, cars: 130, changing door: False, iterations: 10000, win probability: 0.8653
For doors: 150, cars: 140, changing door: True, iterations: 10000, win probability: 0.9452
For doors: 150, cars: 140, changing door: False, iterations: 10000, win probability: 0.9388
For doors: 160, cars: 10, changing door: True, iterations: 10000, win probability: 0.0597
For doors: 160, cars: 10, changing door: False, iterations: 10000, win probability: 0.0608
For doors: 160, cars: 20, changing door: True, iterations: 10000, win probability: 0.128
For doors: 160, cars: 20, changing door: False, iterations: 10000, win probability: 0.1278
For doors: 160, cars: 30, changing door: True, iterations: 10000, win probability: 0.1895
For doors: 160, cars: 30, changing door: False, iterations: 10000, win probability: 0.1853
For doors: 160, cars: 40, changing door: True, iterations: 10000, win probability: 0.2521
For doors: 160, cars: 40, changing door: False, iterations: 10000, win probability: 0.2555
For doors: 160, cars: 50, changing door: True, iterations: 10000, win probability: 0.3144
For doors: 160, cars: 50, changing door: False, iterations: 10000, win probability: 0.3161
For doors: 160, cars: 60, changing door: True, iterations: 10000, win probability: 0.3745
For doors: 160, cars: 60, changing door: False, iterations: 10000, win probability: 0.3842
For doors: 160, cars: 70, changing door: True, iterations: 10000, win probability: 0.4389
For doors: 160, cars: 70, changing door: False, iterations: 10000, win probability: 0.4396
For doors: 160, cars: 80, changing door: True, iterations: 10000, win probability: 0.5078
For doors: 160, cars: 80, changing door: False, iterations: 10000, win probability: 0.4985
For doors: 160, cars: 90, changing door: True, iterations: 10000, win probability: 0.5638
For doors: 160, cars: 90, changing door: False, iterations: 10000, win probability: 0.567
For doors: 160, cars: 100, changing door: True, iterations: 10000, win probability: 0.6257
For doors: 160, cars: 100, changing door: False, iterations: 10000, win probability: 0.6319
For doors: 160, cars: 110, changing door: True, iterations: 10000, win probability: 0.6947
For doors: 160, cars: 110, changing door: False, iterations: 10000, win probability: 0.6896
For doors: 160, cars: 120, changing door: True, iterations: 10000, win probability: 0.7541
For doors: 160, cars: 120, changing door: False, iterations: 10000, win probability: 0.7461
For doors: 160, cars: 130, changing door: True, iterations: 10000, win probability: 0.8178
For doors: 160, cars: 130, changing door: False, iterations: 10000, win probability: 0.8095
For doors: 160, cars: 140, changing door: True, iterations: 10000, win probability: 0.8816
For doors: 160, cars: 140, changing door: False, iterations: 10000, win probability: 0.8733
For doors: 160, cars: 150, changing door: True, iterations: 10000, win probability: 0.9444
For doors: 160, cars: 150, changing door: False, iterations: 10000, win probability: 0.9393
For doors: 170, cars: 10, changing door: True, iterations: 10000, win probability: 0.0598
For doors: 170, cars: 10, changing door: False, iterations: 10000, win probability: 0.0601
For doors: 170, cars: 20, changing door: True, iterations: 10000, win probability: 0.1242
For doors: 170, cars: 20, changing door: False, iterations: 10000, win probability: 0.1201
For doors: 170, cars: 30, changing door: True, iterations: 10000, win probability: 0.1829
For doors: 170, cars: 30, changing door: False, iterations: 10000, win probability: 0.1744
For doors: 170, cars: 40, changing door: True, iterations: 10000, win probability: 0.2334
For doors: 170, cars: 40, changing door: False, iterations: 10000, win probability: 0.2332
For doors: 170, cars: 50, changing door: True, iterations: 10000, win probability: 0.2961
For doors: 170, cars: 50, changing door: False, iterations: 10000, win probability: 0.2896
For doors: 170, cars: 60, changing door: True, iterations: 10000, win probability: 0.3549
For doors: 170, cars: 60, changing door: False, iterations: 10000, win probability: 0.3537
For doors: 170, cars: 70, changing door: True, iterations: 10000, win probability: 0.4089
For doors: 170, cars: 70, changing door: False, iterations: 10000, win probability: 0.4129
For doors: 170, cars: 80, changing door: True, iterations: 10000, win probability: 0.4675
For doors: 170, cars: 80, changing door: False, iterations: 10000, win probability: 0.4735
For doors: 170, cars: 90, changing door: True, iterations: 10000, win probability: 0.5252
For doors: 170, cars: 90, changing door: False, iterations: 10000, win probability: 0.5293
For doors: 170, cars: 100, changing door: True, iterations: 10000, win probability: 0.5956
For doors: 170, cars: 100, changing door: False, iterations: 10000, win probability: 0.5876
For doors: 170, cars: 110, changing door: True, iterations: 10000, win probability: 0.6504
For doors: 170, cars: 110, changing door: False, iterations: 10000, win probability: 0.6467
For doors: 170, cars: 120, changing door: True, iterations: 10000, win probability: 0.7122
For doors: 170, cars: 120, changing door: False, iterations: 10000, win probability: 0.7117
For doors: 170, cars: 130, changing door: True, iterations: 10000, win probability: 0.7675
For doors: 170, cars: 130, changing door: False, iterations: 10000, win probability: 0.7698
For doors: 170, cars: 140, changing door: True, iterations: 10000, win probability: 0.8179
For doors: 170, cars: 140, changing door: False, iterations: 10000, win probability: 0.8178
For doors: 170, cars: 150, changing door: True, iterations: 10000, win probability: 0.8929
For doors: 170, cars: 150, changing door: False, iterations: 10000, win probability: 0.8777
For doors: 170, cars: 160, changing door: True, iterations: 10000, win probability: 0.9485
For doors: 170, cars: 160, changing door: False, iterations: 10000, win probability: 0.9406
For doors: 180, cars: 10, changing door: True, iterations: 10000, win probability: 0.0564
For doors: 180, cars: 10, changing door: False, iterations: 10000, win probability: 0.0569
For doors: 180, cars: 20, changing door: True, iterations: 10000, win probability: 0.1083
For doors: 180, cars: 20, changing door: False, iterations: 10000, win probability: 0.1101
For doors: 180, cars: 30, changing door: True, iterations: 10000, win probability: 0.1672
For doors: 180, cars: 30, changing door: False, iterations: 10000, win probability: 0.1679
For doors: 180, cars: 40, changing door: True, iterations: 10000, win probability: 0.2256
For doors: 180, cars: 40, changing door: False, iterations: 10000, win probability: 0.2253
For doors: 180, cars: 50, changing door: True, iterations: 10000, win probability: 0.2829
For doors: 180, cars: 50, changing door: False, iterations: 10000, win probability: 0.2835
For doors: 180, cars: 60, changing door: True, iterations: 10000, win probability: 0.3344
For doors: 180, cars: 60, changing door: False, iterations: 10000, win probability: 0.3346
For doors: 180, cars: 70, changing door: True, iterations: 10000, win probability: 0.3956
For doors: 180, cars: 70, changing door: False, iterations: 10000, win probability: 0.3876
For doors: 180, cars: 80, changing door: True, iterations: 10000, win probability: 0.4456
For doors: 180, cars: 80, changing door: False, iterations: 10000, win probability: 0.4548
For doors: 180, cars: 90, changing door: True, iterations: 10000, win probability: 0.505
For doors: 180, cars: 90, changing door: False, iterations: 10000, win probability: 0.5053
For doors: 180, cars: 100, changing door: True, iterations: 10000, win probability: 0.5584
For doors: 180, cars: 100, changing door: False, iterations: 10000, win probability: 0.5485
For doors: 180, cars: 110, changing door: True, iterations: 10000, win probability: 0.611
For doors: 180, cars: 110, changing door: False, iterations: 10000, win probability: 0.6073
For doors: 180, cars: 120, changing door: True, iterations: 10000, win probability: 0.6648
For doors: 180, cars: 120, changing door: False, iterations: 10000, win probability: 0.6828
For doors: 180, cars: 130, changing door: True, iterations: 10000, win probability: 0.7203
For doors: 180, cars: 130, changing door: False, iterations: 10000, win probability: 0.7207
For doors: 180, cars: 140, changing door: True, iterations: 10000, win probability: 0.7825
For doors: 180, cars: 140, changing door: False, iterations: 10000, win probability: 0.7703
For doors: 180, cars: 150, changing door: True, iterations: 10000, win probability: 0.8339
For doors: 180, cars: 150, changing door: False, iterations: 10000, win probability: 0.8373
For doors: 180, cars: 160, changing door: True, iterations: 10000, win probability: 0.8888
For doors: 180, cars: 160, changing door: False, iterations: 10000, win probability: 0.8888
For doors: 180, cars: 170, changing door: True, iterations: 10000, win probability: 0.951
For doors: 180, cars: 170, changing door: False, iterations: 10000, win probability: 0.944
